Tipo;Plan estabilidad lechero?;Fecha ingreso trámite;Fracciones Artº5;Tipo de negocio;Tipo de negocio;;Nº expediente;Estado de ocupación;Moneda;Precio total;Superficie total(ha);Superficie CONEAT 100 (ha);Mejoras que incluye;Forma de entrega;Forma y plazo pago;Multa por incumplimiento;Padrones
Por Art. 35º;NO;15/12/2025;;Compraventa;Compraventa;;2025-70-1-02036;Libre;U$S;2939691;691,692;511,8521;Suelos y mejoras;Libre de cosas animales y ocupantes dentro del plazo que vece el 30/04/26;U$S1.910.799 al contado y en una sola partida al momento de otorgarse la promesa de compraventa proyectada y  U$S 1.028.892 al contado en una sola partida al momento de otorgarse la compraventa proyectada y simultáneamente con la entrega del inmueble;U$S 293.969;Rocha-> Rural: 516
Por Art. 35º;NO;12/12/2025;;Compraventa;Compraventa;;2025-70-1-02032;Parcialmente ocupado;U$S;5250000;1889,8571;1714,1701;La operación comprende suelos y mejoras;El bien se entregará el 05/02/26 y se hará libre de ocupantes, siendo habitado por el casero empleado por la promitente vendedora del establecimiento, existiendo también un contrato de arrendamiento inscripto, pero actualmente vencido.;En una sola partida simultáneamente al otorgamiento del compromiso de compraventa o de la compraventa definitiva.;U$S 525000;Treinta y Tres-> Rural: 3810-4625-5508-5338-1951-3716-5507-4414-6970-2825
Por Art. 35º;NO;10/12/2025;;Compraventa;Compraventa;;2025-70-1-02017;Parcialmente ocupado;U$S;10633499;885,4572;548,9835;La operación comprende suelos y mejoras;Libre de ocupantes y conjuntamente con el otorgamiento de la escritura de compraventa;Conjuntamente con el otorgamiento de la escritura de compraventa y entrega de la posesión de los bienes.;U$S 1.063.349,9;Rivera-> Rural: 3048
Por Art. 35º;NO;10/12/2025;;Compraventa;Compraventa;;2025-70-1-02022;Parcialmente ocupado;U$S;9700000;2225,02;1824,5164;Suelos y mejoras;En forma conjunta al otorgamiento de la compraventa prometida, en las condiciones ocupacionales en las que se encuentran, es decir se otorgará un comodato precario al promitente enajenante, solo en áreas de cultivos implantados desde la fecha de otorgamiento de la compraventa y hasta el 30/06/26, llegada dicha fecha se rescinde el comodato de pleno derecho.;Al contado y en una sola partida contra la firma de la escritura definitiva de compraventa que se otorgará dentro del plazo de 90 días corridos a contar de la firma del boleto de reserva;U$S 970.000;Cerro Largo-> Rural: 11502-11501
Por Art. 35º;NO;08/12/2025;;Compraventa;Compraventa;;2025-70-1-02001;Parcialmente ocupado;U$S;2779064;463,1773;449,281981;La operación comprende suelos y mejoras;El bien se encuentra libre de ocupantes, salvo contrato de arrendamiento vigente con un plazo de 10 años prorrogable hasta 2 prorrogas e 1 año c/u a partir del 11/05/17.;Al contado a la firma de la escritura de compraventa;U$S 277906;San José-> Rural: 4880
Directo;NO;05/12/2025;;Compraventa;Compraventa;;2025-70-1-01988;;U$S;3077040;256,42;0;;;;;Canelones-> Rural: 38957-7738-51795-3568-45239-39218-38379-3572-51794-2097-44756
Por Art. 35º;NO;02/12/2025;;Compraventa;Compraventa;;2025-70-1-01972;Parcialmente ocupado;U$S;171322728;18802,5204;15547,8295;Suelos, bosques y mejoras;Conjuntamente con el otorgamiento de la compraventa y pago del precio y libre de ocupantes, con excepción de los contratos de pastoreo existentes.;Simultáneamente con el otorgamiento de la escritura de compraventa.;U$S 18.100.000;Rivera-> Rural: 9345-526-253-3407-9510-8946-7846-10122-829-9475-3180-8225-470-8224-660-9485-7803 Tacuarembó-> Rural: 384-7106-10395-6272-8073-9408-572-10657-7104-6704-6649-13439-2733-6143-9699-973-1116-14708-12043-14739-7103-5179-14823-6332-12044-7814-7102-10270-14822-4499-10212-6409-6082-10394-7765-14853-9410-14279-9701-10393-10053-14852-532-7839-7101-10846-4998-14851-9409
Por Art. 35º;NO;28/11/2025;;Compraventa;Compraventa;;2025-70-1-01944;Libre;U$S;4080000;907,0497;795,6894;Suelos y mejoras;Libre de ocupantes, simultáneamente con el otorgamiento y suscripción de la escritura de compraventa y pago total del precio.;Al contado, al momento de firmarse la compraventa, simultáneamente con la entrega del inmueble.;U$S 200.000;Durazno-> Rural: 5610-8459
Por Art. 35º;NO;28/11/2025;;Compraventa;Compraventa;;2025-70-1-01957;Libre;U$S;2400000;754,391;383,148594;Suelos y mejoras;Libre de ocupantes y cosas, simultáneamente con el la escritura de compraventa en un plazo de 180 días a contar del 28/10/25 (28/04/2026);a) La suma de U$S 1.200.000 se pagarán al momento del otorgamiento del compromiso de compraventa y en un plazo de 90 días a contar desde el 28/10/25 (28/01/2026)b) El saldo restante de  U$S 1.200.000 al momento del otorgamiento de la compraventa contra la entrea de la posesión de los padrones y en un plazo de 180 días a contar del 28/10/25 (28/04/2026);U$S 240.000;Maldonado-> Rural: 3454-19625-6275-20450-2958-3206-3203-3451-14137-3440-20451-20452-4741
Por Art. 35º;NO;26/11/2025;;Compraventa;Compraventa;;2025-70-1-01940;Ocupado;U$S;1309827;240,7206;322,3672;La operación comprende suelos y mejoras;El bien se entregará al momento de suscribirse la compraventa reservada dentro del plazo de 90 días a partir del 30/09/25;a) U$S 776325 a los noventa días.b) U$S 266751 también a los noventa días de la firma de la reserva referida.c) U$S 266751 será abonado dentro del plazo máximo de un año, a contar de la firma de la compraventa.;No se estableció multa por incumplimiento.;Florida-> Rural: 7583-7584-12551-12409-4863-12552
Por Art. 35º;NO;25/11/2025;;Compraventa;Compraventa;;2025-70-1-00759;Parcialmente ocupado;U$S;2333589;752,7707;624,0514;Comprende suelos y mejoras;La parte propietaria vende y efectúa la tradición, libre de obligaciones, afectaciones y gravámenes. Libre de ocupantes a cualquier título conjuntamente con el otorgamiento de la compraventa (con condiciones detalladas en el escrito.);En una sola partida, conjuntamente con el otorgamiento de la escritura de compraventa y entrega de posesión de los bienes.;U$S 233000;Rocha-> Rural: 2060-17090-55171-55361-2061-2059-55170
Directo;NO;20/11/2025;;Compraventa;Compraventa;;2025-70-1-01905;;U$S;7986600;1835;1168;;;;;Cerro Largo-> Rural: 14256-338-12311-14255-7005
Por Art. 35º;NO;17/11/2025;;Compraventa;Compraventa;;2025-70-1-01893;Ocupado;U$S;4782797;1258,6308;630,8131;La operación comprende suelos y mejoras.;Actualmente los inmuebles se encuentran arrendados a favor de Francisco Frotini Luvizio, con fecha del 14/12/21 al 25/01/26. Los mismos se entregarán libre de animales y ocupantes a cualquier título, simultáneamente contra el pago del precio y la firma de la escritura de compraventa.;La totalidad del precio se pagará mediante transferencia bancaria o letra de cambio, simultáneamente con el otorgamiento de la escritura de compraventa,;U$S 478280;Durazno-> Rural: 237-197
Por Art. 35º;NO;12/11/2025;;Compraventa;Compraventa;;2025-70-1-01834;Libre;U$S;1576285;984,9297;557,9198;La operación comprende suelos y mejoras;Los padrones se encuentran libres de ocupantes y serán entregados el día de la firma de la escitura de compraventa según se detalló anteriormente.;Se pagará al contado mediante la obtención de un crédito hipotecario del Banco Santander.;U$S 50000;Cerro Largo-> Rural: 3283-6844-14680-1942-6334-14679-16144-14678-15242-14677-14676-14675-14674-4417-6846-1943
Por Art. 35º;NO;10/11/2025;;Compraventa;Compraventa;;2025-70-1-01815;Libre;U$S;9406580;855,1436;1443,35;Las fracciones de campo se entregan con mejoras que le acceden, alambrados e instalaciones.;La entrega de la posesión será otorgada en el plazo de noventa días a contar de la firma del boleto, prorrogables por 30 días más, libre de ocupantes y cosas, simultáneamente con el otorgamiento de la compraventa.;El precio se integrará en una sola partida, dentro del plazo que se establecerá, en forma simultánea con la firma de la compraventa definitiva, y por medio de pago exigidos por la ley.;U$S 940658;Río Negro-> Rural: 3931-357-355-3123-5298-3930-356-301
Por Art. 35º;NO;07/11/2025;;Compraventa;Compraventa;;2025-70-1-01808;Ocupado;U$S;1928790;642,93;520,5106;Se deja constancia que la operación comprende suelos y demás mejoras que le correspondan a los padrones identificados.;La totalidad de los padrones se encuentran bajo contrato de arrendamiento de Rúben Adrián Duerte Rosa, cuya recesión de contrato esta siendo tramitada a efectos de lograr la posesión de los padrones al 30/11/25.;Al contado y por los medio de pagos establecidos en la Ley de Inclusión Financiera contra el otorgamiento de la compraventa definitiva, estipulada como fecha máxima para el día 15/01/2026.;U$S 80000;Tacuarembó-> Rural: 8376-8374-3447-14843-2901-8377-8375-4178-3424-11299-2900
Por Art. 35º;NO;03/11/2025;;Compraventa;Compraventa;;2025-70-1-01789;Ocupado;U$S;1300000;210,431;174,6577;Suelos y mejoras.;Libre de ocupantes y cosas, simultáneamente con el otoramiento de la compraventa y el pago del precio establecido.;Al contado, en una sola partida, simultáneamente con el otorgamiento de la escritura de compraventa del bien y contra la entrega del mismo.;U$S 80.000;Canelones-> Rural: 6290
Por Art. 35º;NO;31/10/2025;;Compraventa;Compraventa;;2025-70-1-01769;Ocupado;U$S;1552650;282,003;425,82;Suelos y mejoras;Al momento de suscribirse la compraventa, dentro del plazo de 90 días a partir del 30/09/25. Arrendado y ocupado por el promitente comprador (Tarro S.R.L.) con contrato de fecha 23/08/17, cuyo plazo se encuentra vencido al 20/07/20;Al contado en un plazo de 90 días sin intereses.;U$S 150.000;Florida-> Rural: 5729
Por Art. 35º;NO;30/10/2025;;Compraventa;Compraventa;;2025-70-1-01738;Libre;U$S;2132378;333,184;403,1526;La operación comprende suelos y mejoras.;Se entregará a la parte futura compradora, simultáneamente con el otorgamiento de la escritura de compraventa definitiva y pago del saldo de precio, dentro del plazo del 01/04/26 al 31/05/26, libre de ocupantes.;a) U$S 250000 se abonarán en una sola partida, conjuntamente con la firma de la escritura de promesa de compraventa, en el plazo máximo de  90días a contar del otorgamiento del boleto de reserva.b) U$S 1882378 se abonará conjuntamente con el otorgamiento de la compraventa definitiva y la entrega de la posesión del inmueble.;U$S 210000;Florida-> Rural: 6881
Por Art. 35º;NO;29/10/2025;;Compraventa;Compraventa;;2025-70-1-01737;Libre;U$S;2413925;960,575;643,5029;La operación comprende suelos y mejoras.;La escritura de compraventa se otorgará en el plazo de 90 días a contar del 13/10/25 con la integración total del precio y simultánea entrega de la posesión de los bienes, libre de ocupantes a cualquier título.;El precio se abonará al contado con el otorgamiento de la escritura de compraventa y la entrega de la posesión de los inmuebles, estableciéndose un plazo de 90 días a contar del otorgamiento del contrato preliminar.;U$S 241000;Paysandú-> Rural: 5808-2771
Por Art. 35º;NO;29/10/2025;;Compraventa;Compraventa;;2025-70-1-01729;Ocupado;U$S;2778600;926,2;629,816;La operación comprende suelos y mejoras.;El bien se encuentra actualmente arrendado a favor de BENELUC S.R.L por el plazo de 1 año a contar del 1/5/25.;Al contado, conjuntamente con el otorgamiento de la escritura de compraventa.;U$S 278000;Paysandú-> Rural: 9637
Por Art. 35º;NO;28/10/2025;;Compraventa;Compraventa;;2025-70-1-01717;Libre;U$S;3346823;318,745;656,6147;La operación no comprende suelos ni mejoras.;El inmueble se entregará simultáneamente a la celebración de la compraventa, libre de ocupantes.;Se integrará simultáneamente a la firma de la compraventa y entrega del inmueble.;U$S 334682;Soriano-> Rural: 9032
Por Art. 35º;NO;21/10/2025;;Compraventa;Compraventa;;2025-70-1-01694;Parcialmente ocupado;U$S;3685045;722,5579;764,7502;El negocio proyectado comprende suelos y mejoras.;La entrega de la posesión se realziará al momento de otorgarse la escritura de compraventa, dentro del plazo de 90 días a contar de la firma del boleto de reserva, con contrato de arrendamiento vigente.;El precio se abonará en una sola partida, simultáneamente a la firma de la compraventa, dentro del plazo de 90 días a contar de la firma del boleto de reserva.;U$S 368505;Florida-> Rural: 894-18882-870
Por Art. 35º;NO;20/10/2025;;Compraventa;Compraventa;;2025-70-1-01688;Parcialmente ocupado;U$S;23500000;7381,6785;7289,307;La venta proyectada comprende suelos y mejoras.;Se abonará simultáneamente con el otorgamiento de la escritura de compraventa y entrega de la posesión con plazo máximo de 90 días a contar del 16/10/25.;Los inmuebles se entregarán a más tardar el 14/01/26, libre de ocupantes, salvo el Pastoreo descripto en el escrito.;U$S 2350000;Salto-> Rural: 4614-1103-1613-8198-7513-9289-6173-3191-4878-8027-6756
Por Art. 35º;NO;16/10/2025;;Compraventa;Compraventa;;2025-70-1-01671;Ocupado;U$S;2935325;715,933;630,021;La operación comprende suelos y mejoras;60 días a partir del boleto de reserva.Existe un contrato de arrendamiento vigente al 15/05/26 que debe respetarse. Por tanto el campo se entregará ocupado por el arrendatario Hubo Ubilla López.;Se abonará en una sola partida con la firma de la compraventa.;U$S 293532;Treinta y Tres-> Rural: 8350
Por Art. 35º;NO;15/10/2025;;Compraventa;Compraventa;;2025-70-1-01663;Libre;U$S;4200000;587,7226;731,4472;Suelos y mejoras;Simultáneamente con el otorgamiento de la compraventa respectiva totalmente libre de personas, ocupantes y/o cosas.;- U$S 2.100.000 en forma simultánea con el otorgamiento de la escritura de compraventa y entrega de los bienes inmuebles - El saldo de  U$S 2.100.000 en 2 cuotas iguales, anuales y consecutivas de U$S 1.050.000 ;U$S 420.000;Paysandú-> Rural: 12536-6640-6639-6900
Por Art. 5º;NO;10/10/2025; fracción 31, Colonia A. Pintos Viana, inmueble nº3;Compraventa;Compraventa;;2025-70-1-01624;Libre;U$S;180000;40;38,4;Suelos y mejoras;Al momento de otorgarse la escritura de compraventa libre de ocupantes.;U$S 120.000 se pagarán al momento de otorgarse la compraventa y el saldo de U$S 40.000 a los 3 meses.;U$S 50.000;Paysandú-> Rural: 2357
Por Art. 35º;NO;09/10/2025;;Compraventa;Compraventa;;2025-70-1-01623;Libre;U$S;3546540;373,32;685,1077;Suelos y mejoras;Libre de ocupantes y cosas simultáneamente con el otorgamiento de la compraventa y del pago del precio ;En una sola partida en forma simultanea con la firma de la compraventa definitiva;U$S 354.654;Paysandú-> Rural: 6543-6542-6541-6540-107
Por Art. 5º;NO;06/10/2025;COLONIA ITALIA. FRACC. 103A1. INM 19;Compraventa;Compraventa;;2025-70-1-01587;Ocupado;U$S;63000;5;8,95;La operación comprende suelos y mejoras;El bien se entregará libre de ocupantes en forma simultánea a la suscripción del compromiso de comrpaventa difnitivo, estableciéndose un plazo máximo de 60 días desde el 23/09/25 (actualmente ocupado por el propietario.);a) U$S 25500 en el momento de la suscripación del compromiso de compraventa definitivo.b) U$S 37500 se pagará en 40 cuotas mensuales, siguientes y consecutivas. Las primeras 10 de U$S 1500 c/u y las 30 restantes de U$S 750 c/u, venciendo la primera al mes de la suscripación del comprimso de compraventa.;U$S 6300;San José-> Rural: 20057
Por Art. 35º;NO;02/10/2025;;Compraventa;Compraventa;;2025-70-1-01575;Ocupado;U$S;3225000;791,174;616,5287;La operación comprende suelos y mejoras;Los campos se entregarán con contrato de arrendamiento a favor de Lavardin S.R.L. (forestación), y con contrato de pastoreo vigente a favor de animales sin Hogar Asociacion Civil;Se pagará en una sola partida, con el otorgamiento del contrato de compraventa dentro del plazo de 6 meses a contar del 20/06/25.;U$S 322.500;Lavalleja-> Rural: 16025-17123-16024
Por Art. 5º;NO;29/09/2025;COLONIA AGRACIADA. FRACC. N°15. INM N° 9P.;Permuta;Permuta;;2025-70-1-00221;Libre;U$S;450800;32,1994;61,8228;La operación comprende suelos y mejoras;Se desconoce;Al contado;Se desconoce;Soriano-> Rural: 4179
Por Art. 5º;NO;29/09/2025;COLONIA AGRACIADA. FRACC. I3A1 NM 9P;Permuta;Permuta;;2025-70-1-00221;Libre;U$S;450800;33,2728;35,2691;La operación comprende suelos y mejoras;Se desconoce;Al contado;Se desconoce;Soriano-> Rural: 10549-13268
Por Art. 35º;NO;26/09/2025;;Compraventa;Compraventa;;2025-70-1-01538;Libre;U$S;1835000;129,2322;303,7457;Los inmuebles se venden comprendiendo suelos y mejoras, con los alambrados, accesiones que contienen y les corresponden, sin construcciones.;Se entregarán al momento del otorgamiento de la escritura de compraventa, libre de ocupantes a cualquier título.;a) U$S 1000000  que serán abonados al momento de otorgarse un compromiso de compraventa por los referidos padrones a suscribirse entre el 1ro y el 15 de diciembre de 2025.b) U$S 835000 que serán abonados conjuntamente con la celebración de la compraventa definitiva de los inmuebles y entrega de posesión de los mismos, conforme se dirá, a suscribirse entre el 1ro de julio y el 15 de agosto.;U$S 300000;Colonia-> Rural: 12217-4679-13876
Por Art. 35º;NO;24/09/2025;;Compraventa;Compraventa;;2025-70-1-01523;Ocupado;U$S;5175000;1902,68;1598,2512;La operación comprende suelos y mejoras.;El bien se encuentra arrendado a favor de “Baranzano Serralta Zulima Florentina, y Riani Baranzano Roberto Daniel y otros”. El plazo establecido es de 3 años, a partir del 18/11/22 (vencido el 30/06/25, no habiendo procedido a la entrega del bien).;Se abonará en 3 partidas:a) U$S 1675000 conjuntamente con el otorgamiento de la promesa.b) U$S 1750000 el 30/09/26.c) U$S 1750000 conjuntamente con la escritura de compraventa del inmueble.;20% del monto de la operación.;Artigas-> Rural: 1693
Por Art. 35º;NO;18/09/2025;;Compraventa;Compraventa;;2025-70-1-01510;Libre;U$S;14311714;3669,6702;3558,3108;La operación comprende suelos y mejoras;Los inmuebles relacionados se entregarán libres de ocupantes a cualquier título, el día del otorgamiento de las escrituras de compraventa respectivas.;El precio se integrará en un solo acto, el día de otorgamiento de las escrituras de compraventa respectivas, las que se celebraran de forma simultánea.;U$S 1432000;Rivera-> Rural: 1677-8290-8287-8285-8012-1676-8289-8286-4028
Por Art. 35º;NO;17/09/2025;;Compraventa;Compraventa;;2025-70-1-01498;Ocupado;U$S;5632349;1198,3721;1283,6736;Todas las mejoras existentes en los referidos padrones están incluidas en el precio pactado para la operación.;Los bienes referidos se encuentran en su totalidad dados en pastoreo (todos con vencimiento el 30/11/25). La ocupación del bien se entregará en forma simultánea al otorgamiento de la escritura de compraventa y pago del precio.;El precio acordado será en una sola partida en forma simultanea con el otorgamiento de la compraventa de los relacionados al inmueble.;U$S 563234;Lavalleja-> Rural: 16328-16336-16106-16333-16109-16329-16338-16327-16335-15877-16331-16108
Por Art. 35º;NO;16/09/2025;;Compraventa;Compraventa;;2025-70-1-01464;Libre;U$S;4619118;220,4457;295,3972;El precio del negocio acordado comprende suelos y mejoras.;El bien se encuentra libre de ocupantes y/o arrendatarios el 15 de octubre de 2025;Al contado y en una sola partida al momento de otorgarse la compraventa proyectada, simultáneamente con la entrega del inmueble.;En caso de incumplimiento temporal, una multa diaria equivalente a U$S 1000En caso de incumplimiento definitivo, una multa equivalente a U$S 461912;Maldonado-> Rural: 20605
Por Art. 35º;NO;16/09/2025;;Enajenación forzosa;Enajenación forzosa;;2025-70-1-01478;Ocupado;U$S;1221552;610,7759;787,9009;No se especifíca;No se especifíca;No se especifíca;No se especifíca;Artigas-> Rural: 5261
Por Art. 35º;NO;12/09/2025;;Compraventa;Compraventa;;2025-70-1-00035;Ocupado;U$S;21000000;315;403,2121;La operación comprende suelos y mejoras,;Los derechos de posesión que correspondan, se transferirán simultáneamente con la firma de la compraventa, libre de ocupantes a cualquier título.;'El precio total se compondrá de dos partes: una en dinero y la otra mediante la entrega en metros cuadrados vendibles del proyecto de acuerdo al siguiente detalle:a) USD 10.500.000  que se pagarán en dos partidas: USD 7.000.000 conjuntamente con la firma del contrato de compraventa; USD 3.500.000 en cuatro cuotas iguales, anuales y consecutivas de USD 875.000 c/u (debiendo ';U$S 100000;Maldonado-> Rural: 26970-1525-1526-26804-9469
Por Art. 35º;NO;09/09/2025;;Compraventa;Compraventa;;2025-70-1-01438;Ocupado;U$S;13500000;2503,1726;2177,7602;La operación comprende suelos y mejoras;El inmueble será ocupado por la parte compradora conjunta y simultáneamente con el otorgamiento de la escritura de compraventa, libre de obligaciones y gravámenes. Dicho inmueble se encuentra actualmente ocupado a favor del Sr. Iván Osmar Trojahn Drescher (documento suscrito el 31/07/24 y con plazo de 4 años con opción a un año más a partir del 01/08/24);a) U$S 1350000 por carta de pago que se integrán en este acto.b) U$S 1650000 simultáneamente con la suscripción de la escritura definitiva de compraventa.c) U$S 10500000 en 4 cuotas que se detallan: 1) U$S 3000000 el 30/11/25. 2) U$S 2500000 el 30/11/26 3) U$S 2500000 el 30/11/27. 4) U$S 2500000 el 30/11/28.;U$S 1350000;Cerro Largo-> Rural: 116
Por Art. 5º;NO;08/09/2025;Colonia Las Delicias Inm Nº222P Fracc.Nº41 y 42;Compraventa;Compraventa;;2025-70-1-00627;Ocupado;U$S;1300000;179,1242;131,3;La operación comprende suelos y mejoras;El bien se encuentra ocupado por la parte enajenante y se entregarán libres de ocupantes el día del otorgamiento de la compraventa proyectada.;En simultáneo al otorgamiento de la escritura de compraventa, al contado.;U$S 100000;Paysandú-> Rural: 4928-4929
Por Art. 35º;NO;08/09/2025;;Compraventa;Compraventa;;2025-70-1-01443;Libre;U$S;1370115;402,9751;249,84;En el campo no existen otras mejoras que no sean los alambrados perimetrales;El inmueble se entregaría el 1/04/26 ya que tiene ganado de pastoreo hasta dicha fecha. Quien ocupa el bien es el compareciente Pablo Lassalle y quien tiene ganado de pastoreo es el Sr. Daniel Artola. No existen arrendatarios, medianeros, comodatarios y cuaquier otro que tenga un derecho real o personal en el inmueble, con contrato a la fecha del ofrecimiento.;En una sola partida en un plazo de 30 días hábiles.;U$S 137011.5;Florida-> Rural: 1905
